"employee_id","management_satisfaction","work_life_balance_satisfaction","work_environment_satisfaction","compensation_satisfaction"
"E00144","5","3","5","5"
"E00145","2","3","4","1"
"E00146","4","4","2","2"
"E00147","5","2","4","4"
"E00148","3","2","4","3"
"E00149","5","4","2","4"
"E00150","1","1","5","5"
"E00151","2","1","4","2"
"E00152","2","2","3","1"
"E00153","2","2","5","5"
"E00154","3","2","2","2"
"E00155","2","1","1","1"
"E00156","4","3","3","4"
"E00157","3","4","5","3"
"E00158","5","4","2","2"
"E00159","1","5","3","3"
"E00160","3","5","5","1"
"E00161","1","3","1","5"
"E00162","3","2","5","3"
"E00163","5","3","1","5"
"E00164","1","5","1","4"
"E00165","3","5","4","5"
"E00166","1","4","2","3"
"E00167","2","3","4","3"
"E00168","2","1","1","2"
"E00169","2","5","2","5"
"E00170","4","4","2","4"
"E00171","4","2","2","2"
"E00172","2","3","3","2"
"E00173","5","5","5","4"
"E00174","1","1","1","2"
"E00175","1","5","2","4"
"E00176","2","1","3","1"
"E00177","1","3","3","2"
"E00178","3","1","1","3"
"E00179","2","1","4","1"
"E00180","2","4","3","2"
"E00181","4","3","1","4"
"E00182","3","5","3","1"
"E00183","2","2","1","1"
"E00184","2","3","2","3"
"E00185","1","3","4","2"
"E00186","2","2","3","2"
"E00187","2","5","3","4"
"E00188","2","4","3","1"
"E00189","2","5","5","3"
"E00190","4","2","5","4"
"E00191","3","5","2","4"
"E00192","4","3","3","3"
"E00193","1","4","4","2"
"E00194","5","1","5","3"
"E00195","2","5","1","2"
"E00196","1","1","1","5"
"E00197","5","4","1","1"
"E00198","2","1","2","3"
"E00199","2","5","3","4"
"E00200","5","2","3","2"
"E00201","4","3","5","1"
"E00202","5","3","1","1"
"E00203","5","1","2","3"
"E00204","3","3","4","4"
"E00205","2","3","3","3"
"E00206","2","2","3","4"
"E00207","4","1","2","5"
"E00208","4","2","5","3"
"E00209","3","2","2","2"
"E00210","3","4","5","3"
"E00211","3","1","3","3"
"E00212","4","2","5","5"
"E00213","5","5","5","5"
"E00214","2","3","5","3"
"E00215","2","1","5","4"
"E00216","1","4","1","5"
"E00217","4","2","1","5"
"E00218","4","5","1","4"
"E00219","3","3","1","1"
"E00220","1","3","2","5"
"E00221","1","5","4","5"
"E00222","4","1","5","4"
"E00223","3","3","2","4"
"E00224","2","3","1","3"
"E00225","3","3","5","3"
"E00226","2","2","4","1"
"E00227","4","2","5","1"
"E00228","3","3","3","1"
"E00229","1","4","3","2"
"E00230","5","3","2","4"
"E00231","1","1","4","5"
"E00232","2","4","2","4"
"E00233","4","1","5","4"
"E00234","3","5","4","1"
"E00235","4","5","2","4"
"E00236","4","2","5","2"
"E00237","2","2","1","5"
"E00238","4","2","5","1"
"E00239","3","5","2","3"
"E00240","1","1","4","5"
"E00241","4","4","4","3"
"E00242","3","2","1","3"
"E00243","3","5","2","4"
"E00244","2","2","1","5"
"E00245","4","3","3","2"
"E00246","2","4","5","4"
"E00247","1","1","3","3"
"E00248","1","2","3","5"
"E00249","3","3","1","4"
"E00250","4","3","1","5"
"E00251","3","4","5","1"
"E00252","4","5","1","2"
"E00253","2","5","1","2"
"E00254","1","2","1","2"
"E00255","1","2","1","3"
"E00256","2","5","1","3"
"E00257","5","1","3","2"
"E00258","5","1","3","5"
"E00259","5","3","5","1"
"E00260","4","4","4","3"
"E00261","2","1","5","4"
"E00262","4","2","1","4"
"E00263","4","1","5","3"
"E00264","2","4","5","2"
"E00265","4","2","1","5"
"E00266","2","4","1","1"
"E00267","5","5","1","4"
"E00268","4","4","4","3"
"E00269","4","4","1","5"
"E00270","1","4","2","2"
"E00271","2","2","3","1"
"E00272","3","4","2","1"
"E00273","3","4","4","4"
"E00274","4","3","1","4"
"E00275","1","2","5","3"
"E00276","2","4","3","1"
"E00277","5","1","4","2"
"E00278","4","4","2","2"
"E00279","2","1","1","3"
"E00280","2","5","4","1"
"E00281","2","5","4","4"
"E00282","1","2","5","2"
"E00283","2","2","5","5"
"E00284","1","5","5","3"
"E00285","1","2","2","2"
"E00286","2","1","5","5"
"E00287","5","1","4","5"
"E00288","2","3","4","2"
"E00289","5","2","4","3"
"E00290","4","2","3","5"
"E00291","3","3","3","5"
"E00292","4","4","2","1"
"E00293","1","1","5","1"
"E00294","4","4","4","1"
"E00295","3","3","5","5"
"E00296","3","2","4","5"
"E00297","5","4","3","3"
"E00298","4","2","4","4"
"E00299","1","3","2","1"
"E00300","1","5","1","4"
"E00301","5","2","4","1"
"E00302","5","4","2","1"
"E00303","4","4","3","3"
"E00304","5","3","3","3"
"E00305","3","4","1","2"
"E00306","1","1","5","1"
"E00307","3","2","5","1"
"E00308","2","1","4","1"
"E00309","3","3","3","3"
"E00310","1","1","2","1"
"E00311","2","1","1","2"
"E00312","4","2","5","5"
"E00313","2","2","4","2"
"E00314","5","5","4","5"
"E00315","1","1","3","3"
"E00316","5","2","2","4"
"E00317","3","1","2","3"
"E00318","4","1","5","4"
"E00319","1","3","4","5"
"E00320","4","3","3","4"
"E00321","1","1","2","5"
"E00322","5","3","4","4"
"E00323","3","2","2","5"
"E00324","2","1","1","4"
"E00325","4","3","2","5"
"E00326","1","2","2","2"
"E00327","1","1","4","1"
"E00328","4","1","2","2"
"E00329","2","3","2","3"
"E00330","3","2","1","4"
"E00331","1","1","2","5"
"E00332","1","1","2","2"
"E00333","4","5","4","2"
"E00334","4","1","3","5"
"E00335","1","5","1","4"
"E00336","1","5","2","3"
"E00337","1","2","3","3"
"E00338","5","4","4","3"
"E00339","1","5","1","5"
"E00340","3","2","1","2"
"E00341","3","3","3","3"
"E00342","2","5","1","2"
"E00343","4","4","2","3"
"E00344","2","3","3","3"
"E00345","1","5","4","4"
"E00346","4","5","1","5"
"E00347","1","4","3","4"
"E00348","4","1","3","2"
"E00349","5","4","4","2"
"E00350","5","2","4","5"
"E00351","5","2","2","3"
"E00352","2","4","2","5"
"E00353","4","4","3","3"
"E00354","2","4","4","1"
"E00355","4","4","3","1"
"E00356","1","4","5","5"
"E00357","5","5","4","1"
"E00358","5","3","5","1"
"E00359","4","2","5","2"
"E00360","2","2","4","3"
"E00361","2","3","2","1"
"E00362","3","4","3","4"
"E00363","5","3","1","2"
"E00364","5","4","1","3"
"E00365","2","2","4","2"
"E00366","5","1","2","4"
"E00367","2","2","2","3"
"E00368","3","2","2","5"
"E00369","4","1","1","5"
"E00370","4","3","5","5"
"E00371","3","5","1","5"
"E00372","5","4","2","3"
"E00373","1","4","1","5"
"E00374","5","2","1","4"
"E00375","2","1","3","5"
"E00376","1","2","4","1"
"E00377","3","2","5","1"
"E00378","4","3","3","1"
"E00379","4","4","4","5"
"E00380","5","5","2","5"
"E00381","4","1","3","5"
"E00382","5","5","4","3"
"E00383","2","1","3","1"
"E00384","2","4","1","2"
"E00385","3","3","1","3"
"E00386","2","5","3","3"
"E00387","5","1","3","5"
"E00388","4","2","5","5"
"E00389","2","4","2","3"
"E00390","2","3","1","5"
"E00391","5","2","3","1"
"E00392","2","3","4","3"
"E00393","4","1","2","3"
"E00394","4","2","4","3"
"E00395","4","3","2","5"
"E00396","4","4","4","3"
"E00397","1","5","1","2"
"E00398","4","5","3","2"
"E00399","1","2","3","1"
"E00400","4","4","5","3"
"E00401","4","4","3","3"
"E00402","5","3","1","5"
"E00403","4","2","2","4"
"E00404","2","4","2","4"
"E00405","4","3","3","3"
"E00406","3","4","4","1"
"E00407","5","2","3","2"
"E00408","5","4","2","3"
"E00409","4","4","5","3"
"E00410","3","4","2","1"
"E00411","4","5","4","5"
"E00412","2","1","4","4"
"E00413","5","2","5","3"
"E00414","5","5","4","3"
"E00415","3","1","3","5"
"E00416","1","4","3","2"
"E00417","3","4","2","5"
"E00418","2","5","1","5"
"E00419","3","3","3","2"
"E00420","1","2","3","3"
"E00421","2","1","5","4"
"E00422","2","4","3","2"
"E00423","1","2","2","1"
"E00424","4","4","5","3"
"E00425","3","4","3","2"
"E00426","2","4","2","2"
"E00427","3","2","5","2"
"E00428","1","5","1","4"
"E00429","5","2","2","5"
"E00430","1","2","3","5"
"E00431","3","3","5","2"
"E00432","2","3","1","2"
"E00433","3","5","2","5"
"E00434","5","3","1","4"
"E00435","2","5","2","3"
"E00436","5","4","3","5"
"E00437","4","4","2","2"
"E00438","1","2","3","4"
"E00439","4","4","2","4"
"E00440","3","3","5","2"
"E00441","4","1","2","1"
"E00442","1","2","2","4"
"E00443","2","5","4","5"
"E00444","5","4","4","1"
"E00445","2","2","2","3"
"E00446","4","2","4","5"
"E00447","3","2","3","2"
"E00448","4","4","4","1"
"E00449","1","5","2","5"
"E00450","1","2","1","4"
"E00451","3","2","1","2"
"E00452","2","2","2","1"
"E00453","1","4","2","4"
"E00454","1","3","1","2"
"E00455","3","5","5","2"
"E00456","2","2","4","1"
"E00457","4","2","5","1"
"E00458","5","2","3","1"
"E00459","3","4","1","5"
"E00460","2","3","1","2"
"E00461","5","2","5","3"
"E00462","3","2","3","4"
"E00463","4","4","5","1"
"E00464","4","5","3","2"
"E00465","2","5","2","4"
"E00466","2","3","2","3"
"E00467","4","5","1","4"
"E00468","4","2","2","3"
"E00469","3","4","5","1"
"E00470","2","2","3","5"
"E00471","5","2","1","3"
"E00472","4","3","2","1"
"E00473","5","5","1","4"
"E00474","2","5","1","4"
"E00475","2","5","3","4"
"E00476","1","2","5","5"
"E00477","4","4","5","2"
"E00478","2","4","4","3"
"E00479","2","2","5","2"
"E00480","4","1","2","4"
"E00481","1","2","4","5"
"E00482","1","5","4","1"
"E00483","1","2","4","5"
"E00484","1","1","4","2"
"E00485","3","2","5","4"
"E00486","4","5","4","3"
"E00487","4","3","2","5"
"E00488","4","4","2","2"
"E00489","1","1","1","2"
"E00490","1","3","2","1"
"E00491","2","4","1","3"
"E00492","3","3","2","2"
"E00493","4","2","4","3"
"E00494","3","2","3","4"
"E00495","4","4","4","5"
"E00496","1","4","5","2"
"E00497","1","2","1","4"
"E00498","4","2","3","1"
"E00499","5","4","2","3"
"E00500","1","4","4","4"
"E00501","2","4","1","3"
"E00502","1","5","1","3"
"E00503","2","5","2","2"
"E00504","3","2","1","3"
"E00505","1","5","2","4"
"E00506","1","1","2","1"
"E00507","3","2","4","2"
"E00508","2","1","1","5"
"E00509","5","3","5","1"
"E00510","2","1","5","4"
"E00511","4","3","4","2"
"E00512","4","1","4","3"
"E00513","4","3","2","1"
"E00514","3","3","5","2"
"E00515","2","2","1","5"
"E00516","1","4","5","5"
"E00517","4","4","4","5"
"E00518","2","2","4","2"
"E00519","1","3","2","1"
"E00520","2","4","1","3"
"E00521","3","4","4","1"
"E00522","4","2","1","3"
"E00523","5","5","5","1"
"E00524","4","2","2","1"
"E00525","4","5","5","2"
"E00526","3","3","4","5"
"E00527","1","1","4","5"
"E00528","4","4","1","5"
"E00529","1","1","4","5"
"E00530","1","2","1","1"
"E00531","3","3","3","5"
"E00532","4","1","4","1"
"E00533","3","1","5","3"
"E00534","3","1","5","4"
"E00535","5","4","1","4"
"E00536","3","3","3","3"
"E00537","5","4","4","1"
"E00538","1","1","2","5"
"E00539","1","4","2","2"
"E00540","2","4","5","1"
"E00541","2","2","4","1"
"E00542","1","5","2","3"
"E00543","4","5","1","3"
"E00544","2","2","4","2"
"E00545","3","2","5","5"
"E00546","2","4","3","4"
"E00547","1","2","1","5"
"E00548","4","3","1","5"
"E00549","1","5","4","1"
"E00550","4","4","3","2"
"E00551","2","3","1","1"
"E00552","3","5","3","3"
"E00553","3","3","5","4"
"E00554","1","3","1","2"
"E00555","4","2","2","2"
"E00556","2","1","5","5"
"E00557","4","1","5","1"
"E00558","4","1","1","5"
"E00559","4","3","2","5"
"E00560","2","4","3","2"
"E00561","4","1","2","4"
"E00562","3","4","5","3"
"E00563","1","5","1","5"
"E00564","5","1","2","4"
"E00565","4","3","2","5"
"E00566","3","2","5","4"
"E00567","3","3","3","1"
"E00568","1","4","2","3"
"E00569","1","5","2","2"
"E00570","5","3","4","1"
"E00571","5","2","5","5"
"E00572","5","2","4","5"
"E00573","2","5","5","3"
"E00574","2","1","5","3"
"E00575","3","3","4","3"
"E00576","1","3","3","5"
"E00577","4","2","3","5"
"E00578","1","4","5","2"
"E00579","2","3","4","3"
"E00580","3","2","2","4"
"E00581","4","4","5","2"
"E00582","5","1","5","4"
"E00583","5","1","1","1"
"E00584","2","2","3","3"
"E00585","3","2","4","2"
"E00586","1","1","2","2"
"E00587","2","2","2","1"
"E00588","1","5","5","1"
"E00589","4","3","2","1"
"E00590","1","5","2","2"
"E00591","4","4","5","5"
"E00592","3","2","3","4"
"E00593","2","2","1","4"
"E00594","1","4","3","1"
"E00595","3","3","3","5"
"E00596","3","1","1","5"
"E00597","1","5","5","1"
"E00598","5","3","3","3"
"E00599","4","1","4","2"
"E00600","4","1","4","3"
"E00601","3","2","1","5"
"E00602","2","4","4","1"
"E00603","2","2","5","2"
"E00604","3","4","2","4"
"E00605","5","2","5","5"
"E00606","3","5","1","2"
"E00607","4","2","2","2"
"E00608","3","5","4","3"
"E00609","1","3","3","4"
"E00610","5","3","4","3"
"E00611","1","2","5","3"
"E00612","1","3","5","3"
"E00613","3","1","1","3"
"E00614","3","5","3","5"
"E00615","2","4","3","5"
"E00616","1","5","2","3"
"E00617","3","2","2","5"
"E00618","2","3","5","5"
"E00619","1","3","1","2"
"E00620","2","1","5","2"
"E00621","5","3","3","1"
"E00622","4","2","3","5"
"E00623","1","2","5","1"
"E00624","3","4","3","5"
"E00625","5","5","2","3"
"E00626","2","5","3","3"
"E00627","4","5","2","1"
"E00628","1","4","4","3"
"E00629","4","4","1","3"
"E00630","5","4","1","2"
"E00631","4","1","3","3"
"E00632","1","4","1","2"
"E00633","5","3","4","4"
"E00634","2","1","3","5"
"E00635","1","3","2","2"
"E00636","4","5","4","2"
"E00637","1","2","4","2"
"E00638","5","5","1","5"
"E00639","4","4","2","5"
"E00640","2","2","5","5"
"E00641","3","5","4","3"
"E00642","2","1","1","2"
"E00643","1","4","4","5"
"E00644","3","2","2","4"
"E00645","5","2","2","5"
"E00646","4","3","3","1"
"E00647","4","5","5","1"
"E00648","5","1","5","2"
"E00649","1","2","1","2"
"E00650","2","5","5","2"
"E00651","3","3","2","3"
"E00652","5","4","5","1"
"E00653","1","4","1","1"
"E00654","1","4","1","2"
"E00655","3","2","5","1"
"E00656","5","3","1","1"
"E00657","2","3","2","3"
"E00658","2","5","2","4"
"E00659","5","4","4","2"
"E00660","4","2","3","4"
"E00661","2","4","5","4"
"E00662","4","4","2","3"
"E00663","5","5","3","1"
"E00664","1","5","5","2"
"E00665","5","5","5","5"
"E00666","1","1","3","4"
"E00667","5","1","2","4"
"E00668","4","2","4","3"
"E00669","4","2","5","4"
"E00670","5","5","1","5"
"E00671","1","3","1","4"
"E00672","5","2","1","3"
"E00673","1","1","4","1"
"E00674","4","1","5","4"
"E00675","3","4","2","2"
"E00676","2","5","2","4"
"E00677","4","3","4","4"
"E00678","5","5","5","2"
"E00679","5","1","3","3"
"E00680","1","3","3","5"
"E00681","2","2","5","2"
"E00682","4","4","5","5"
"E00683","2","1","2","1"
"E00684","2","4","4","1"
"E00685","4","5","4","4"
"E00686","1","3","2","4"
"E00687","1","5","1","3"
"E00688","1","4","3","5"
"E00689","3","1","5","1"
"E00690","2","4","3","1"
"E00691","3","1","3","4"
"E00692","1","4","4","4"
"E00693","4","5","2","3"
"E00694","2","4","1","4"
"E00695","4","2","1","4"
"E00696","5","5","2","3"
"E00697","2","4","3","4"
"E00698","4","4","2","4"
"E00699","1","3","2","4"
"E00700","3","5","5","5"
"E00701","4","3","5","1"
"E00702","5","5","3","2"
"E00703","1","1","4","1"
"E00704","5","5","1","5"
"E00705","3","5","5","2"
"E00706","5","4","3","1"
"E00707","4","2","2","3"
"E00708","4","5","5","5"
"E00709","1","3","2","3"
"E00710","3","2","2","3"
"E00711","3","5","5","1"
"E00712","2","2","3","2"
"E00713","2","1","1","4"
"E00714","4","2","3","4"
"E00715","5","1","4","5"
"E00716","5","2","4","3"
"E00717","1","2","1","5"
"E00718","3","3","4","1"
"E00719","4","3","2","3"
"E00720","5","4","4","4"
"E00721","2","2","5","1"
"E00722","4","1","2","1"
"E00723","1","2","3","5"
"E00724","4","5","1","5"
"E00725","5","1","5","2"
"E00726","1","5","5","4"
"E00727","2","4","1","4"
"E00728","2","5","4","5"
"E00729","5","4","1","4"
"E00730","1","4","1","4"
"E00731","2","4","4","1"
"E00732","1","5","3","3"
"E00733","4","4","1","3"
"E00734","3","4","4","2"
"E00735","3","3","5","3"
"E00736","3","2","1","4"
"E00737","2","4","1","1"
"E00738","5","1","3","3"
"E00739","3","1","3","4"
"E00740","5","3","5","4"
"E00741","3","5","3","5"
"E00742","4","5","5","5"
"E00743","3","5","1","3"
"E00744","5","4","4","5"
"E00745","2","5","3","4"
"E00746","4","5","5","4"
"E00747","5","2","3","5"
"E00748","1","4","3","1"
"E00749","3","4","2","5"
"E00750","4","1","1","1"
"E00751","2","1","3","5"
"E00752","1","2","4","4"
"E00753","3","3","2","4"
"E00754","4","4","5","5"
"E00755","5","1","5","2"
"E00756","3","5","4","1"
"E00757","4","4","4","2"
"E00758","3","4","1","4"
"E00759","4","4","4","1"
"E00760","5","1","5","5"
"E00761","3","2","1","1"
"E00762","4","1","4","1"
"E00763","1","5","4","3"
"E00764","2","5","5","1"
"E00765","4","3","1","4"
"E00766","4","1","2","2"
"E00767","4","1","2","2"
"E00768","3","3","1","5"
"E00769","2","3","4","3"
"E00770","3","4","4","2"
"E00771","4","4","1","2"
"E00772","4","5","2","1"
"E00773","2","2","3","4"
"E00774","1","5","5","4"
"E00775","3","1","1","5"
"E00776","1","2","3","4"
"E00777","4","4","5","2"
"E00778","4","3","3","1"
"E00779","5","3","3","4"
"E00780","5","5","1","3"
"E00781","1","1","3","3"
"E00782","5","1","2","3"
"E00783","2","2","1","4"
"E00784","1","5","2","1"
"E00785","5","5","2","4"
"E00786","5","4","5","2"
"E00787","2","4","5","4"
"E00788","2","4","5","3"
"E00789","1","2","3","3"
"E00790","3","5","3","1"
"E00791","2","5","1","5"
"E00792","5","4","3","3"
"E00793","1","3","1","3"
"E00794","3","4","2","5"
"E00795","1","2","1","4"
"E00796","5","3","1","3"
"E00797","3","5","5","1"
"E00798","3","2","3","4"
"E00799","2","2","4","4"
"E00800","4","3","4","3"
"E00801","5","4","5","4"
"E00802","4","4","2","4"
"E00803","5","1","2","1"
"E00804","1","3","2","4"
"E00805","4","4","1","3"
"E00806","3","2","3","3"
"E00807","2","4","2","5"
"E00808","5","4","4","2"
"E00809","2","2","1","5"
"E00810","5","3","2","1"
"E00811","3","1","2","1"
"E00812","3","4","3","3"
"E00813","3","4","3","5"
"E00814","3","4","1","5"
"E00815","3","3","4","2"
"E00816","2","2","5","3"
"E00817","1","2","4","4"
"E00818","4","2","3","3"
"E00819","2","2","3","3"
"E00820","4","2","5","2"
"E00821","1","2","4","1"
"E00822","5","4","4","4"
"E00823","1","4","5","4"
"E00824","1","2","3","1"
"E00825","5","2","1","2"
"E00826","4","3","4","2"
"E00827","3","3","2","1"
"E00828","5","5","4","5"
"E00829","5","4","4","2"
"E00830","1","2","4","1"
"E00831","5","4","3","5"
"E00832","2","5","2","3"
"E00833","3","3","4","4"
"E00834","1","5","1","1"
"E00835","4","1","2","2"
"E00836","4","3","5","4"
"E00837","4","4","1","5"
"E00838","4","3","5","4"
"E00839","4","5","4","1"
"E00840","1","2","3","3"
"E00841","2","5","4","5"
"E00842","2","5","4","5"
"E00843","4","2","5","5"
"E00844","2","4","4","4"
"E00845","3","4","1","3"
"E00846","2","3","3","1"
"E00847","5","5","5","1"
"E00848","4","3","2","4"
"E00849","5","2","4","1"
"E00850","5","1","5","1"
"E00851","4","4","4","3"
"E00852","1","2","4","4"
"E00853","2","4","5","4"
"E00854","3","3","1","5"
"E00855","1","1","2","1"
"E00856","3","5","4","2"
"E00857","4","4","1","3"
"E00858","2","5","4","3"
"E00859","1","3","4","2"
"E00860","4","4","1","5"
"E00861","1","3","4","2"
"E00862","5","5","2","2"
"E00863","2","3","5","5"
"E00864","2","3","1","2"
"E00865","4","3","3","5"
"E00866","4","2","4","1"
"E00867","4","2","5","5"
"E00868","2","4","2","4"
"E00869","5","3","2","4"
"E00870","2","3","3","2"
"E00871","4","3","2","4"
"E00872","3","2","5","5"
"E00873","5","5","3","1"
"E00874","2","3","1","5"
"E00875","3","1","3","3"
"E00876","5","4","1","2"
"E00877","2","2","2","1"
"E00878","4","5","5","2"
"E00879","2","1","4","3"
"E00880","5","3","3","4"
"E00881","4","2","2","3"
"E00882","1","3","5","4"
"E00883","3","4","4","2"
"E00884","4","2","3","2"
"E00885","4","1","5","2"
"E00886","5","5","2","5"
"E00887","5","5","3","1"
"E00888","3","4","3","5"
"E00889","5","5","1","3"
"E00890","4","5","1","1"
"E00891","3","4","3","2"
"E00892","3","1","5","2"
"E00893","2","2","2","2"
"E00894","4","2","4","4"
"E00895","4","4","1","3"
"E00896","5","3","2","5"
"E00897","4","4","3","3"
"E00898","5","4","2","4"
"E00899","4","4","2","4"
"E00900","2","4","2","3"
"E00901","4","5","3","4"
"E00902","2","5","1","1"
"E00903","4","1","4","2"
"E00904","4","4","5","5"
"E00905","1","2","1","4"
"E00906","4","3","4","5"
"E00907","2","5","3","2"
"E00908","3","2","4","3"
"E00909","2","5","3","2"
"E00910","4","1","4","5"
"E00911","5","3","1","1"
"E00912","1","5","3","3"
"E00913","5","3","2","4"
"E00914","1","3","3","1"
"E00915","1","2","3","2"
"E00916","5","5","4","5"
"E00917","4","3","3","5"
"E00918","2","4","4","5"
"E00919","5","3","1","2"
"E00920","3","3","3","3"
"E00921","1","5","2","4"
"E00922","2","4","2","1"
"E00923","3","3","1","2"
"E00924","2","5","2","5"
"E00925","4","5","4","4"
"E00926","3","3","3","5"
"E00927","5","1","5","2"
"E00928","2","1","3","5"
"E00929","5","2","3","2"
"E00930","5","1","5","5"
"E00931","2","1","2","2"
"E00932","2","5","2","5"
"E00933","1","5","3","4"
"E00934","1","3","2","4"
"E00935","3","3","4","5"
"E00936","3","5","1","5"
"E00937","3","3","5","2"
"E00938","1","5","3","2"
"E00939","5","1","4","2"
"E00940","4","3","1","3"
"E00941","4","1","2","5"
"E00942","2","2","3","5"
"E00943","1","3","4","5"
"E00944","2","5","5","5"
"E00945","4","5","4","2"
"E00946","2","2","1","2"
"E00947","1","5","4","3"
"E00948","1","1","3","2"
"E00949","1","5","5","5"
"E00950","4","2","5","5"
"E00951","4","4","1","1"
"E00952","3","4","3","2"
"E00953","3","1","1","1"
"E00954","1","4","1","5"
"E00955","3","5","1","2"
"E00956","1","2","4","5"
"E00957","4","1","2","1"
"E00958","3","4","4","1"
"E00959","4","5","3","4"
"E00960","3","5","1","4"
"E00961","5","3","1","2"
"E00962","5","3","2","2"
"E00963","4","2","5","2"
"E00964","3","1","1","2"
"E00965","5","4","4","2"
"E00966","1","4","1","2"
"E00967","2","5","3","2"
"E00968","5","4","2","1"
"E00969","5","2","5","1"
"E00970","1","3","3","1"
"E00971","5","5","4","5"
"E00972","5","1","3","3"
"E00973","5","5","1","5"
"E00974","3","4","2","2"
"E00975","5","2","1","3"
"E00976","2","1","2","1"
"E00977","3","5","4","1"
"E00978","3","4","3","4"
"E00979","4","5","1","2"
"E00980","5","1","3","2"
"E00981","2","4","2","4"
"E00982","2","3","1","5"
"E00983","4","1","2","4"
"E00984","2","3","2","2"
"E00985","3","3","5","1"
"E00986","1","4","4","4"
"E00987","3","5","1","3"
"E00988","1","5","1","1"
"E00989","2","2","3","5"
"E00990","5","1","2","1"
"E00991","1","1","2","5"
"E00992","3","4","2","1"
"E00993","3","4","1","2"
